VesselID,Date,Terminal,ShippingLine,VesselType,Route,ArrivalHour,TurnaroundHrs,DepartureHour,TEUCapacity,TEULoaded,UtilisationRate
V01087,2023-01-03,Pasir Panjang T1-2,MSC,Container,Singapore–US East,6,19.1,1,8000,19118,1.0
V01088,2023-01-03,Tuas,ONE,Container,Singapore–US West,5,34.0,15,8000,6923,0.865
V01089,2023-01-03,Brani,COSCO,Tanker,Singapore–Korea,18,17.5,11,12000,17904,1.0
V01090,2023-01-03,Pasir Panjang T1-2,Hapag-Lloyd,Bulk Carrier,Singapore–US East,1,34.6,11,14500,14344,0.989
V01091,2023-01-04,Pasir Panjang T3-4,PIL,Container,Singapore–China,3,30.9,9,24000,19991,0.833
V01092,2023-01-04,Pasir Panjang T3-4,HMM,Container,Singapore–US West,1,31.5,8,8000,8989,1.0
V01093,2023-01-04,Pasir Panjang T1-2,Hapag-Lloyd,Container,Singapore–Japan,16,27.1,19,20000,18896,0.945
V01094,2023-01-04,Keppel,Yang Ming,Bulk Carrier,Singapore–Japan,18,29.6,23,8000,13203,1.0
V01095,2023-01-04,Tuas,Yang Ming,General Cargo,Singapore–US West,0,35.9,11,12000,17301,1.0
V01096,2023-01-04,Brani,PIL,Container,Singapore–SE Asia,1,14.4,15,24000,11054,0.461
V01097,2023-01-04,Pasir Panjang T3-4,COSCO,Tanker,Singapore–Japan,14,37.5,3,12000,10840,0.903
V01098,2023-01-04,Brani,ONE,Tanker,Singapore–Korea,5,29.1,10,8000,17852,1.0
V01099,2023-01-04,Pasir Panjang T3-4,Hapag-Lloyd,Container,Singapore–India,7,24.9,7,12000,18617,1.0
V01100,2023-01-04,Tanjong Pagar,COSCO,Container,Singapore–US West,20,36.6,8,20000,10943,0.547
V01101,2023-01-04,Tuas,Yang Ming,Container,Singapore–India,5,35.0,16,14500,18119,1.0
V01102,2023-01-04,Keppel,CMA CGM,RORO,Singapore–US West,19,12.7,7,20000,10371,0.519
V01103,2023-01-04,Pasir Panjang T3-4,Hapag-Lloyd,Container,Singapore–China,22,24.4,22,20000,5907,0.295
V01104,2023-01-04,Tuas,HMM,Bulk Carrier,Singapore–Europe,20,21.1,17,8000,7695,0.962
V01105,2023-01-04,Tuas,PIL,Container,Singapore–US East,16,20.6,12,12000,5648,0.471
V01106,2023-01-04,Tanjong Pagar,Maersk,Container,Singapore–China,9,37.7,22,8000,18398,1.0
V01107,2023-01-04,Pasir Panjang T1-2,Yang Ming,Tanker,Singapore–US East,2,28.4,6,20000,19953,0.998
V01108,2023-01-04,Pasir Panjang T3-4,Evergreen,Container,Singapore–China,9,21.0,6,8000,18220,1.0
V01109,2023-01-04,Keppel,MSC,Tanker,Singapore–Middle East,10,18.4,4,12000,17579,1.0
V01110,2023-01-04,Tuas,Maersk,Container,Singapore–Middle East,21,31.9,4,12000,17595,1.0
V01111,2023-01-05,Tanjong Pagar,CMA CGM,Bulk Carrier,Singapore–US East,7,26.8,9,12000,17139,1.0
V01112,2023-01-05,Tanjong Pagar,COSCO,Bulk Carrier,Singapore–Middle East,14,15.5,5,14500,14029,0.968
V01113,2023-01-05,Pasir Panjang T3-4,Evergreen,Container,Singapore–China,10,22.6,8,12000,12983,1.0
V01114,2023-01-05,Pasir Panjang T3-4,Evergreen,Tanker,Singapore–India,5,33.6,14,24000,11959,0.498
V01115,2023-01-05,Tanjong Pagar,PIL,Bulk Carrier,Singapore–India,14,36.1,2,20000,17877,0.894
V01116,2023-01-05,Tanjong Pagar,ONE,RORO,Singapore–India,1,25.4,2,12000,11829,0.986
V01117,2023-01-05,Tuas,Hapag-Lloyd,Container,Singapore–Europe,23,23.7,22,8000,5441,0.68
V01118,2023-01-05,Pasir Panjang T1-2,Hapag-Lloyd,Container,Singapore–Middle East,10,32.0,18,12000,10508,0.876
V01119,2023-01-05,Tanjong Pagar,Evergreen,Container,Singapore–SE Asia,22,16.4,14,12000,15991,1.0
V01120,2023-01-05,Keppel,CMA CGM,Container,Singapore–Korea,18,18.0,12,8000,18528,1.0
V01121,2023-01-05,Brani,Yang Ming,Container,Singapore–US East,23,17.8,16,20000,10186,0.509
V01122,2023-01-05,Pasir Panjang T3-4,MSC,Bulk Carrier,Singapore–India,23,37.7,12,20000,22813,1.0
V01123,2023-01-05,Keppel,ONE,Container,Singapore–Japan,4,25.7,5,24000,14004,0.584
V01124,2023-01-05,Brani,Hapag-Lloyd,Container,Singapore–Japan,23,35.6,10,8000,10064,1.0
V01125,2023-01-05,Tanjong Pagar,Hapag-Lloyd,Container,Singapore–SE Asia,13,25.1,14,20000,15534,0.777
V01126,2023-01-05,Brani,Evergreen,Tanker,Singapore–Europe,7,15.3,22,24000,10818,0.451
V01127,2023-01-05,Tanjong Pagar,MSC,Container,Singapore–China,18,26.4,20,8000,6961,0.87
V01128,2023-01-05,Tuas,Maersk,Bulk Carrier,Singapore–China,6,13.7,19,24000,7409,0.309
V01129,2023-01-05,Tanjong Pagar,CMA CGM,Container,Singapore–India,3,27.8,6,12000,7302,0.608
V01130,2023-01-05,Pasir Panjang T1-2,Hapag-Lloyd,RORO,Singapore–Europe,21,12.3,9,12000,10490,0.874
V01131,2023-01-05,Tuas,MSC,Bulk Carrier,Singapore–Middle East,4,29.2,9,24000,19758,0.823
V01132,2023-01-05,Pasir Panjang T1-2,Yang Ming,Container,Singapore–US West,7,24.4,7,20000,6257,0.313
V01133,2023-01-05,Brani,COSCO,Bulk Carrier,Singapore–US West,17,12.5,5,12000,18104,1.0
V01134,2023-01-05,Pasir Panjang T1-2,Maersk,Container,Singapore–China,19,30.5,1,20000,15024,0.751
V01135,2023-01-05,Keppel,Hapag-Lloyd,Container,Singapore–India,1,17.8,18,8000,7352,0.919
V01136,2023-01-05,Pasir Panjang T1-2,ONE,Container,Singapore–Korea,22,17.2,15,12000,22945,1.0
V01137,2023-01-05,Pasir Panjang T1-2,Yang Ming,RORO,Singapore–Korea,0,31.8,7,12000,20150,1.0
V01138,2023-01-05,Pasir Panjang T3-4,Maersk,Bulk Carrier,Singapore–SE Asia,1,34.1,11,14500,12264,0.846
V01139,2023-01-05,Pasir Panjang T1-2,Yang Ming,Tanker,Singapore–China,3,31.2,10,8000,19608,1.0
V01140,2023-01-05,Pasir Panjang T3-4,PIL,Tanker,Singapore–Korea,12,20.1,8,8000,8768,1.0
V01141,2023-01-05,Brani,Hapag-Lloyd,Tanker,Singapore–Korea,5,24.1,5,8000,11151,1.0
V01142,2023-01-05,Pasir Panjang T1-2,Yang Ming,Bulk Carrier,Singapore–US East,9,34.1,19,14500,18114,1.0
V01143,2023-01-05,Tanjong Pagar,Hapag-Lloyd,Container,Singapore–Europe,16,37.7,5,20000,15570,0.778
V01144,2023-01-05,Keppel,Yang Ming,Container,Singapore–Middle East,1,24.4,1,14500,11103,0.766
V01145,2023-01-06,Pasir Panjang T1-2,HMM,RORO,Singapore–US East,7,23.6,6,20000,8563,0.428
V01146,2023-01-06,Tuas,Evergreen,Container,Singapore–Europe,16,15.7,7,20000,10059,0.503
V01147,2023-01-06,Keppel,MSC,Container,Singapore–India,10,23.5,9,14500,11035,0.761
V01148,2023-01-06,Tanjong Pagar,ONE,Bulk Carrier,Singapore–Middle East,16,21.7,13,8000,9917,1.0
V01149,2023-01-06,Keppel,Evergreen,Tanker,Singapore–China,8,22.2,6,12000,10005,0.834
V01150,2023-01-06,Pasir Panjang T1-2,Maersk,Container,Singapore–Japan,3,25.4,4,14500,5672,0.391
V01151,2023-01-06,Pasir Panjang T3-4,PIL,Bulk Carrier,Singapore–US East,20,12.6,8,20000,15251,0.763
V01152,2023-01-06,Pasir Panjang T3-4,ONE,General Cargo,Singapore–Middle East,12,36.2,0,8000,19416,1.0
V01153,2023-01-06,Pasir Panjang T1-2,MSC,General Cargo,Singapore–Europe,12,20.7,8,8000,6489,0.811
V01154,2023-01-06,Tuas,COSCO,General Cargo,Singapore–US East,12,24.5,12,14500,8615,0.594
V01155,2023-01-06,Tanjong Pagar,PIL,Container,Singapore–China,17,18.9,11,8000,6422,0.803
V01156,2023-01-06,Tuas,Hapag-Lloyd,Container,Singapore–Japan,17,37.2,6,14500,7434,0.513
V01157,2023-01-06,Brani,CMA CGM,Container,Singapore–US East,3,34.2,13,14500,11558,0.797
V01158,2023-01-06,Keppel,COSCO,Container,Singapore–SE Asia,16,12.8,4,12000,12719,1.0
V01159,2023-01-06,Keppel,ONE,Container,Singapore–US West,12,18.9,6,12000,12873,1.0
V01160,2023-01-06,Brani,COSCO,Bulk Carrier,Singapore–US East,15,34.2,1,12000,13644,1.0
V01161,2023-01-06,Brani,Maersk,Container,Singapore–Korea,17,24.9,17,12000,10759,0.897
V01162,2023-01-06,Tanjong Pagar,HMM,Bulk Carrier,Singapore–Europe,7,36.4,19,20000,17738,0.887
V01163,2023-01-06,Tuas,COSCO,Container,Singapore–Japan,11,16.2,3,14500,10608,0.732
V01164,2023-01-06,Pasir Panjang T1-2,Maersk,Container,Singapore–US East,8,36.1,20,8000,14227,1.0
V01165,2023-01-06,Keppel,CMA CGM,Container,Singapore–US East,8,12.9,20,8000,11452,1.0
V01166,2023-01-06,Brani,COSCO,Container,Singapore–SE Asia,23,20.5,19,8000,8863,1.0
V01167,2023-01-06,Pasir Panjang T3-4,PIL,Container,Singapore–Japan,14,36.1,2,14500,6169,0.425
V01168,2023-01-06,Pasir Panjang T3-4,Yang Ming,Tanker,Singapore–Europe,1,34.0,11,14500,18047,1.0
V01169,2023-01-06,Pasir Panjang T3-4,COSCO,Container,Singapore–Korea,18,36.2,6,24000,7226,0.301
V01170,2023-01-06,Tanjong Pagar,ONE,Tanker,Singapore–Middle East,6,12.9,18,20000,12393,0.62
V01171,2023-01-06,Tuas,Maersk,Container,Singapore–Japan,8,19.2,3,8000,11744,1.0
V01172,2023-01-06,Keppel,COSCO,Tanker,Singapore–Europe,23,23.1,22,12000,22540,1.0
V01173,2023-01-06,Brani,COSCO,Container,Singapore–India,18,25.1,19,12000,6606,0.55
V01174,2023-01-06,Tanjong Pagar,COSCO,Container,Singapore–India,18,26.7,20,24000,15088,0.629
V01175,2023-01-06,Tuas,Yang Ming,Tanker,Singapore–Europe,0,37.2,13,8000,12073,1.0
V01176,2023-01-07,Keppel,COSCO,RORO,Singapore–US East,19,27.2,22,24000,6748,0.281
V01177,2023-01-07,Brani,COSCO,Tanker,Singapore–SE Asia,17,13.5,6,8000,6628,0.828
V01178,2023-01-07,Keppel,COSCO,RORO,Singapore–Europe,6,29.2,11,12000,17614,1.0
V01179,2023-01-07,Keppel,COSCO,Container,Singapore–Middle East,7,27.3,10,14500,5681,0.392
V01180,2023-01-07,Pasir Panjang T3-4,COSCO,Container,Singapore–Japan,23,23.8,22,20000,16930,0.846
V01181,2023-01-07,Tuas,ONE,Container,Singapore–Korea,2,36.2,14,12000,9734,0.811
V01182,2023-01-07,Pasir Panjang T3-4,Hapag-Lloyd,Container,Singapore–Korea,9,16.9,1,14500,13989,0.965
V01183,2023-01-07,Pasir Panjang T1-2,MSC,Bulk Carrier,Singapore–US West,0,29.0,5,14500,7643,0.527
V01184,2023-01-07,Tuas,Evergreen,Container,Singapore–Europe,17,34.8,3,24000,10029,0.418
V01185,2023-01-07,Brani,Evergreen,Container,Singapore–US West,7,13.6,20,20000,8845,0.442
V01186,2023-01-07,Pasir Panjang T3-4,COSCO,Container,Singapore–US West,6,28.3,10,20000,13105,0.655
V01187,2023-01-07,Tanjong Pagar,CMA CGM,Bulk Carrier,Singapore–Korea,9,27.3,12,8000,21843,1.0
V01188,2023-01-07,Brani,PIL,General Cargo,Singapore–Middle East,1,23.2,0,24000,10250,0.427
V01189,2023-01-07,Brani,Yang Ming,Container,Singapore–Middle East,13,15.3,4,8000,18642,1.0
V01190,2023-01-07,Pasir Panjang T1-2,Evergreen,Tanker,Singapore–Middle East,15,27.9,18,14500,16573,1.0
V01191,2023-01-07,Tanjong Pagar,MSC,Bulk Carrier,Singapore–Japan,13,17.6,6,14500,10650,0.734
V01192,2023-01-07,Tuas,COSCO,Container,Singapore–Europe,8,30.3,14,14500,21638,1.0
V01193,2023-01-07,Tanjong Pagar,MSC,Tanker,Singapore–Korea,4,19.6,23,14500,15384,1.0
V01194,2023-01-07,Pasir Panjang T1-2,Maersk,Container,Singapore–Middle East,7,13.0,20,24000,7132,0.297
V01195,2023-01-07,Tuas,CMA CGM,Container,Singapore–India,22,31.7,5,24000,11225,0.468
V01196,2023-01-07,Pasir Panjang T3-4,CMA CGM,Tanker,Singapore–SE Asia,12,23.2,11,20000,16868,0.843
V01197,2023-01-08,Brani,MSC,Container,Singapore–US East,0,21.2,21,8000,21637,1.0
V01198,2023-01-08,Brani,PIL,Container,Singapore–China,14,12.8,2,14500,8439,0.582
V01199,2023-01-08,Keppel,PIL,Container,Singapore–Europe,9,17.4,2,14500,19786,1.0
V01200,2023-01-08,Pasir Panjang T1-2,COSCO,Container,Singapore–Middle East,3,33.5,12,14500,10560,0.728
V01201,2023-01-08,Tuas,COSCO,Container,Singapore–US East,19,26.8,21,8000,10150,1.0
V01202,2023-01-08,Pasir Panjang T3-4,CMA CGM,Container,Singapore–Korea,22,30.8,4,24000,7378,0.307
V01203,2023-01-08,Tanjong Pagar,Maersk,Tanker,Singapore–Middle East,7,13.5,20,12000,16779,1.0
V01204,2023-01-08,Brani,Yang Ming,Container,Singapore–Korea,6,24.7,6,24000,10491,0.437
V01205,2023-01-08,Pasir Panjang T3-4,Maersk,Tanker,Singapore–Europe,22,24.4,22,20000,17574,0.879
V01206,2023-01-08,Keppel,Evergreen,Bulk Carrier,Singapore–US East,19,21.5,16,14500,15496,1.0
V01207,2023-01-08,Keppel,CMA CGM,Container,Singapore–Japan,18,21.5,15,24000,12391,0.516
V01208,2023-01-08,Tanjong Pagar,ONE,Container,Singapore–US West,10,34.0,20,8000,5459,0.682
V01209,2023-01-08,Tanjong Pagar,Yang Ming,Container,Singapore–US West,7,37.7,20,20000,16820,0.841
V01210,2023-01-08,Pasir Panjang T1-2,Yang Ming,Container,Singapore–US East,8,21.3,5,14500,23219,1.0
V01211,2023-01-08,Keppel,MSC,Bulk Carrier,Singapore–SE Asia,9,15.2,0,14500,18195,1.0
V01212,2023-01-08,Pasir Panjang T3-4,HMM,Container,Singapore–India,11,33.0,20,14500,18389,1.0
V01213,2023-01-08,Keppel,PIL,General Cargo,Singapore–India,12,29.7,17,14500,20060,1.0
V01214,2023-01-08,Brani,MSC,Bulk Carrier,Singapore–Europe,8,18.2,2,8000,19002,1.0
V01215,2023-01-08,Tanjong Pagar,MSC,Container,Singapore–Europe,2,31.9,9,24000,7123,0.297
V01216,2023-01-08,Tanjong Pagar,ONE,Tanker,Singapore–China,1,28.4,5,24000,21319,0.888
V01217,2023-01-08,Pasir Panjang T1-2,COSCO,RORO,Singapore–China,11,30.1,17,14500,12653,0.873
V01218,2023-01-08,Brani,Yang Ming,Container,Singapore–China,16,37.9,5,12000,10037,0.836
V01219,2023-01-08,Brani,Hapag-Lloyd,Container,Singapore–Japan,20,13.3,9,14500,10196,0.703
V01220,2023-01-08,Pasir Panjang T1-2,Yang Ming,Tanker,Singapore–Japan,14,28.7,18,20000,6687,0.334
V01221,2023-01-08,Pasir Panjang T1-2,MSC,Bulk Carrier,Singapore–Korea,18,19.1,13,24000,10523,0.438
V01222,2023-01-09,Brani,Maersk,Tanker,Singapore–Middle East,14,17.8,7,12000,12346,1.0
V01223,2023-01-09,Keppel,HMM,Tanker,Singapore–Japan,8,23.6,7,12000,11408,0.951
V01224,2023-01-09,Keppel,COSCO,Container,Singapore–Europe,1,15.7,16,24000,19835,0.826
V01225,2023-01-09,Tuas,CMA CGM,Tanker,Singapore–US West,5,14.7,19,24000,10848,0.452
V01226,2023-01-09,Pasir Panjang T3-4,PIL,RORO,Singapore–SE Asia,19,14.9,9,8000,10074,1.0
V01227,2023-01-09,Tuas,ONE,Bulk Carrier,Singapore–India,22,35.0,9,20000,11011,0.551
V01228,2023-01-09,Pasir Panjang T3-4,ONE,RORO,Singapore–Middle East,11,12.9,23,14500,18249,1.0
V01229,2023-01-09,Tuas,ONE,Bulk Carrier,Singapore–Korea,1,36.4,13,20000,16283,0.814
V01230,2023-01-09,Pasir Panjang T3-4,CMA CGM,Container,Singapore–China,10,15.1,1,12000,17334,1.0
V01231,2023-01-09,Tanjong Pagar,PIL,Container,Singapore–Europe,5,26.3,7,12000,11407,0.951
V01232,2023-01-09,Pasir Panjang T3-4,Evergreen,RORO,Singapore–Europe,15,35.7,2,8000,22090,1.0
V01233,2023-01-09,Keppel,ONE,Tanker,Singapore–SE Asia,15,28.1,19,14500,7662,0.528
V01234,2023-01-09,Tuas,MSC,Container,Singapore–US West,14,32.3,22,24000,11992,0.5
V01235,2023-01-09,Tanjong Pagar,HMM,Bulk Carrier,Singapore–US East,10,20.8,6,24000,11535,0.481
V01236,2023-01-09,Brani,PIL,Bulk Carrier,Singapore–US East,4,20.3,0,12000,12566,1.0
V01237,2023-01-09,Pasir Panjang T3-4,Hapag-Lloyd,Container,Singapore–Middle East,22,19.4,17,12000,9773,0.814
V01238,2023-01-09,Tuas,ONE,Tanker,Singapore–Middle East,0,28.1,4,12000,12399,1.0
V01239,2023-01-09,Keppel,Yang Ming,Bulk Carrier,Singapore–China,9,13.1,22,8000,16429,1.0
V01240,2023-01-09,Pasir Panjang T1-2,Evergreen,Bulk Carrier,Singapore–Japan,13,31.5,20,8000,17641,1.0
V01241,2023-01-10,Tuas,MSC,Container,Singapore–US East,22,36.1,10,24000,14045,0.585
V01242,2023-01-10,Keppel,Maersk,Container,Singapore–Europe,8,23.6,7,8000,6486,0.811
V01243,2023-01-10,Brani,Yang Ming,Bulk Carrier,Singapore–Japan,20,35.2,7,8000,15313,1.0
V01244,2023-01-10,Tuas,Maersk,RORO,Singapore–SE Asia,11,22.6,9,24000,19181,0.799
V01245,2023-01-10,Pasir Panjang T3-4,Evergreen,Container,Singapore–China,12,31.6,19,8000,20594,1.0
