Date,TEU,Terminal,Month,Year,Quarter,DayOfWeek,IsWeekend
2023-06-08,91775,Tuas,6,2023,2,Thursday,False
2023-06-09,89798,Tanjong Pagar,6,2023,2,Friday,False
2023-06-10,90355,Tanjong Pagar,6,2023,2,Saturday,True
2023-06-11,90966,Pasir Panjang T3-4,6,2023,2,Sunday,True
2023-06-12,98895,Brani,6,2023,2,Monday,False
2023-06-13,90571,Pasir Panjang T1-2,6,2023,2,Tuesday,False
2023-06-14,95154,Brani,6,2023,2,Wednesday,False
2023-06-15,90211,Brani,6,2023,2,Thursday,False
2023-06-16,95280,Tuas,6,2023,2,Friday,False
2023-06-17,93680,Tanjong Pagar,6,2023,2,Saturday,True
2023-06-18,92092,Pasir Panjang T3-4,6,2023,2,Sunday,True
2023-06-19,92344,Tuas,6,2023,2,Monday,False
2023-06-20,90551,Pasir Panjang T1-2,6,2023,2,Tuesday,False
2023-06-21,93558,Brani,6,2023,2,Wednesday,False
2023-06-22,90959,Tanjong Pagar,6,2023,2,Thursday,False
2023-06-23,88723,Pasir Panjang T3-4,6,2023,2,Friday,False
2023-06-24,88497,Brani,6,2023,2,Saturday,True
2023-06-25,92478,Tanjong Pagar,6,2023,2,Sunday,True
2023-06-26,96335,Brani,6,2023,2,Monday,False
2023-06-27,92279,Tuas,6,2023,2,Tuesday,False
2023-06-28,91415,Keppel,6,2023,2,Wednesday,False
2023-06-29,92462,Keppel,6,2023,2,Thursday,False
2023-06-30,95232,Pasir Panjang T3-4,6,2023,2,Friday,False
2023-07-01,92103,Keppel,7,2023,3,Saturday,True
2023-07-02,90249,Tuas,7,2023,3,Sunday,True
2023-07-03,94408,Tuas,7,2023,3,Monday,False
2023-07-04,92421,Tuas,7,2023,3,Tuesday,False
2023-07-05,95429,Tuas,7,2023,3,Wednesday,False
2023-07-06,91550,Keppel,7,2023,3,Thursday,False
2023-07-07,87515,Keppel,7,2023,3,Friday,False
2023-07-08,87019,Brani,7,2023,3,Saturday,True
2023-07-09,95378,Brani,7,2023,3,Sunday,True
2023-07-10,95486,Tuas,7,2023,3,Monday,False
2023-07-11,90061,Pasir Panjang T3-4,7,2023,3,Tuesday,False
2023-07-12,89394,Pasir Panjang T1-2,7,2023,3,Wednesday,False
2023-07-13,94461,Tuas,7,2023,3,Thursday,False
2023-07-14,87171,Pasir Panjang T1-2,7,2023,3,Friday,False
2023-07-15,87667,Brani,7,2023,3,Saturday,True
2023-07-16,91874,Brani,7,2023,3,Sunday,True
2023-07-17,88867,Pasir Panjang T1-2,7,2023,3,Monday,False
2023-07-18,89857,Tanjong Pagar,7,2023,3,Tuesday,False
2023-07-19,89313,Pasir Panjang T3-4,7,2023,3,Wednesday,False
2023-07-20,90614,Pasir Panjang T1-2,7,2023,3,Thursday,False
2023-07-21,93508,Pasir Panjang T3-4,7,2023,3,Friday,False
2023-07-22,89719,Pasir Panjang T1-2,7,2023,3,Saturday,True
2023-07-23,91166,Pasir Panjang T3-4,7,2023,3,Sunday,True
2023-07-24,83519,Tuas,7,2023,3,Monday,False
2023-07-25,89020,Pasir Panjang T1-2,7,2023,3,Tuesday,False
2023-07-26,86692,Brani,7,2023,3,Wednesday,False
2023-07-27,85537,Tanjong Pagar,7,2023,3,Thursday,False
2023-07-28,86387,Pasir Panjang T3-4,7,2023,3,Friday,False
2023-07-29,87806,Tuas,7,2023,3,Saturday,True
2023-07-30,91202,Pasir Panjang T3-4,7,2023,3,Sunday,True
2023-07-31,84820,Tuas,7,2023,3,Monday,False
2023-08-01,88515,Tuas,8,2023,3,Tuesday,False
2023-08-02,86970,Pasir Panjang T3-4,8,2023,3,Wednesday,False
2023-08-03,87304,Pasir Panjang T1-2,8,2023,3,Thursday,False
2023-08-04,90925,Tanjong Pagar,8,2023,3,Friday,False
2023-08-05,89521,Tanjong Pagar,8,2023,3,Saturday,True
2023-08-06,91655,Keppel,8,2023,3,Sunday,True
2023-08-07,87374,Brani,8,2023,3,Monday,False
2023-08-08,85755,Pasir Panjang T3-4,8,2023,3,Tuesday,False
2023-08-09,86974,Brani,8,2023,3,Wednesday,False
2023-08-10,88177,Tanjong Pagar,8,2023,3,Thursday,False
2023-08-11,87890,Keppel,8,2023,3,Friday,False
2023-08-12,84258,Tuas,8,2023,3,Saturday,True
2023-08-13,87446,Tuas,8,2023,3,Sunday,True
2023-08-14,87730,Brani,8,2023,3,Monday,False
2023-08-15,94040,Pasir Panjang T3-4,8,2023,3,Tuesday,False
2023-08-16,92146,Pasir Panjang T3-4,8,2023,3,Wednesday,False
2023-08-17,84402,Tuas,8,2023,3,Thursday,False
2023-08-18,85887,Tuas,8,2023,3,Friday,False
2023-08-19,82496,Pasir Panjang T1-2,8,2023,3,Saturday,True
2023-08-20,84842,Brani,8,2023,3,Sunday,True
2023-08-21,87283,Pasir Panjang T1-2,8,2023,3,Monday,False
2023-08-22,89679,Keppel,8,2023,3,Tuesday,False
2023-08-23,84166,Brani,8,2023,3,Wednesday,False
2023-08-24,84281,Pasir Panjang T1-2,8,2023,3,Thursday,False
2023-08-25,80006,Pasir Panjang T1-2,8,2023,3,Friday,False
2023-08-26,85470,Pasir Panjang T1-2,8,2023,3,Saturday,True
2023-08-27,82858,Brani,8,2023,3,Sunday,True
2023-08-28,84259,Brani,8,2023,3,Monday,False
2023-08-29,83196,Tanjong Pagar,8,2023,3,Tuesday,False
2023-08-30,85298,Pasir Panjang T1-2,8,2023,3,Wednesday,False
2023-08-31,80552,Pasir Panjang T1-2,8,2023,3,Thursday,False
2023-09-01,81279,Tuas,9,2023,3,Friday,False
2023-09-02,91262,Pasir Panjang T1-2,9,2023,3,Saturday,True
2023-09-03,81610,Brani,9,2023,3,Sunday,True
2023-09-04,82060,Tanjong Pagar,9,2023,3,Monday,False
2023-09-05,90191,Keppel,9,2023,3,Tuesday,False
2023-09-06,93100,Brani,9,2023,3,Wednesday,False
2023-09-07,81605,Brani,9,2023,3,Thursday,False
2023-09-08,83775,Brani,9,2023,3,Friday,False
2023-09-09,85685,Brani,9,2023,3,Saturday,True
2023-09-10,89492,Pasir Panjang T3-4,9,2023,3,Sunday,True
2023-09-11,81813,Tanjong Pagar,9,2023,3,Monday,False
2023-09-12,83816,Keppel,9,2023,3,Tuesday,False
2023-09-13,86606,Tanjong Pagar,9,2023,3,Wednesday,False
2023-09-14,85576,Keppel,9,2023,3,Thursday,False
2023-09-15,83236,Pasir Panjang T3-4,9,2023,3,Friday,False
2023-09-16,83846,Tanjong Pagar,9,2023,3,Saturday,True
2023-09-17,80304,Brani,9,2023,3,Sunday,True
2023-09-18,83422,Tanjong Pagar,9,2023,3,Monday,False
2023-09-19,83279,Tuas,9,2023,3,Tuesday,False
2023-09-20,84613,Pasir Panjang T3-4,9,2023,3,Wednesday,False
2023-09-21,82347,Keppel,9,2023,3,Thursday,False
2023-09-22,85163,Keppel,9,2023,3,Friday,False
2023-09-23,86621,Tanjong Pagar,9,2023,3,Saturday,True
2023-09-24,84165,Brani,9,2023,3,Sunday,True
2023-09-25,84661,Pasir Panjang T3-4,9,2023,3,Monday,False
2023-09-26,83772,Pasir Panjang T1-2,9,2023,3,Tuesday,False
2023-09-27,83573,Tuas,9,2023,3,Wednesday,False
2023-09-28,81504,Brani,9,2023,3,Thursday,False
2023-09-29,84363,Keppel,9,2023,3,Friday,False
2023-09-30,83159,Brani,9,2023,3,Saturday,True
2023-10-01,89249,Keppel,10,2023,4,Sunday,True
2023-10-02,87752,Tuas,10,2023,4,Monday,False
2023-10-03,84387,Keppel,10,2023,4,Tuesday,False
2023-10-04,81132,Brani,10,2023,4,Wednesday,False
2023-10-05,80117,Pasir Panjang T1-2,10,2023,4,Thursday,False
2023-10-06,86533,Tanjong Pagar,10,2023,4,Friday,False
2023-10-07,83901,Brani,10,2023,4,Saturday,True
2023-10-08,84479,Brani,10,2023,4,Sunday,True
2023-10-09,78221,Keppel,10,2023,4,Monday,False
2023-10-10,85676,Tanjong Pagar,10,2023,4,Tuesday,False
2023-10-11,84326,Tanjong Pagar,10,2023,4,Wednesday,False
2023-10-12,79922,Tanjong Pagar,10,2023,4,Thursday,False
2023-10-13,81690,Brani,10,2023,4,Friday,False
2023-10-14,83730,Tanjong Pagar,10,2023,4,Saturday,True
2023-10-15,83121,Tuas,10,2023,4,Sunday,True
2023-10-16,82141,Keppel,10,2023,4,Monday,False
2023-10-17,82657,Pasir Panjang T1-2,10,2023,4,Tuesday,False
2023-10-18,82230,Pasir Panjang T3-4,10,2023,4,Wednesday,False
2023-10-19,83354,Brani,10,2023,4,Thursday,False
2023-10-20,87040,Tuas,10,2023,4,Friday,False
2023-10-21,75729,Tanjong Pagar,10,2023,4,Saturday,True
2023-10-22,82249,Keppel,10,2023,4,Sunday,True
2023-10-23,83406,Keppel,10,2023,4,Monday,False
2023-10-24,83742,Tanjong Pagar,10,2023,4,Tuesday,False
2023-10-25,81875,Keppel,10,2023,4,Wednesday,False
2023-10-26,78003,Keppel,10,2023,4,Thursday,False
2023-10-27,83848,Pasir Panjang T3-4,10,2023,4,Friday,False
2023-10-28,87776,Keppel,10,2023,4,Saturday,True
2023-10-29,78656,Tuas,10,2023,4,Sunday,True
2023-10-30,85383,Pasir Panjang T3-4,10,2023,4,Monday,False
2023-10-31,82060,Tuas,10,2023,4,Tuesday,False
2023-11-01,82827,Tanjong Pagar,11,2023,4,Wednesday,False
2023-11-02,80070,Tuas,11,2023,4,Thursday,False
2023-11-03,82104,Pasir Panjang T1-2,11,2023,4,Friday,False
2023-11-04,86705,Tuas,11,2023,4,Saturday,True
2023-11-05,84722,Brani,11,2023,4,Sunday,True
2023-11-06,87969,Tuas,11,2023,4,Monday,False
2023-11-07,86446,Pasir Panjang T1-2,11,2023,4,Tuesday,False
2023-11-08,84411,Tanjong Pagar,11,2023,4,Wednesday,False
2023-11-09,88099,Brani,11,2023,4,Thursday,False
2023-11-10,84482,Tanjong Pagar,11,2023,4,Friday,False
2023-11-11,85609,Tuas,11,2023,4,Saturday,True
2023-11-12,82501,Keppel,11,2023,4,Sunday,True
2023-11-13,83560,Keppel,11,2023,4,Monday,False
2023-11-14,81466,Pasir Panjang T1-2,11,2023,4,Tuesday,False
2023-11-15,86236,Brani,11,2023,4,Wednesday,False
2023-11-16,80215,Tanjong Pagar,11,2023,4,Thursday,False
2023-11-17,85755,Pasir Panjang T3-4,11,2023,4,Friday,False
2023-11-18,83083,Tuas,11,2023,4,Saturday,True
2023-11-19,86951,Pasir Panjang T3-4,11,2023,4,Sunday,True
2023-11-20,85831,Pasir Panjang T1-2,11,2023,4,Monday,False
2023-11-21,88885,Brani,11,2023,4,Tuesday,False
2023-11-22,85893,Pasir Panjang T1-2,11,2023,4,Wednesday,False
2023-11-23,79508,Pasir Panjang T1-2,11,2023,4,Thursday,False
2023-11-24,83786,Tanjong Pagar,11,2023,4,Friday,False
2023-11-25,80758,Tanjong Pagar,11,2023,4,Saturday,True
2023-11-26,82657,Keppel,11,2023,4,Sunday,True
2023-11-27,88409,Brani,11,2023,4,Monday,False
2023-11-28,86035,Tanjong Pagar,11,2023,4,Tuesday,False
2023-11-29,82366,Tanjong Pagar,11,2023,4,Wednesday,False
2023-11-30,81560,Tuas,11,2023,4,Thursday,False
2023-12-01,84568,Brani,12,2023,4,Friday,False
2023-12-02,81148,Pasir Panjang T1-2,12,2023,4,Saturday,True
2023-12-03,82756,Pasir Panjang T1-2,12,2023,4,Sunday,True
2023-12-04,85592,Pasir Panjang T3-4,12,2023,4,Monday,False
2023-12-05,88037,Pasir Panjang T3-4,12,2023,4,Tuesday,False
2023-12-06,86593,Keppel,12,2023,4,Wednesday,False
2023-12-07,78560,Tuas,12,2023,4,Thursday,False
2023-12-08,85917,Brani,12,2023,4,Friday,False
2023-12-09,85358,Tuas,12,2023,4,Saturday,True
2023-12-10,86407,Brani,12,2023,4,Sunday,True
2023-12-11,89868,Tanjong Pagar,12,2023,4,Monday,False
2023-12-12,79661,Pasir Panjang T3-4,12,2023,4,Tuesday,False
2023-12-13,83880,Tanjong Pagar,12,2023,4,Wednesday,False
2023-12-14,87289,Pasir Panjang T3-4,12,2023,4,Thursday,False
2023-12-15,81306,Tanjong Pagar,12,2023,4,Friday,False
2023-12-16,89969,Keppel,12,2023,4,Saturday,True
2023-12-17,86971,Pasir Panjang T1-2,12,2023,4,Sunday,True
2023-12-18,88415,Tuas,12,2023,4,Monday,False
2023-12-19,84552,Brani,12,2023,4,Tuesday,False
2023-12-20,88536,Tanjong Pagar,12,2023,4,Wednesday,False
2023-12-21,89358,Keppel,12,2023,4,Thursday,False
2023-12-22,87129,Tuas,12,2023,4,Friday,False
2023-12-23,87244,Pasir Panjang T3-4,12,2023,4,Saturday,True
2023-12-24,87457,Tanjong Pagar,12,2023,4,Sunday,True
2023-12-25,84397,Brani,12,2023,4,Monday,False
2023-12-26,86516,Keppel,12,2023,4,Tuesday,False
2023-12-27,86619,Keppel,12,2023,4,Wednesday,False
2023-12-28,88237,Tuas,12,2023,4,Thursday,False
2023-12-29,90081,Pasir Panjang T1-2,12,2023,4,Friday,False
2023-12-30,84437,Keppel,12,2023,4,Saturday,True
2023-12-31,87172,Pasir Panjang T1-2,12,2023,4,Sunday,True
2024-01-01,91792,Brani,1,2024,1,Monday,False
2024-01-02,85684,Tanjong Pagar,1,2024,1,Tuesday,False
2024-01-03,85588,Brani,1,2024,1,Wednesday,False
2024-01-04,88581,Keppel,1,2024,1,Thursday,False
2024-01-05,90504,Keppel,1,2024,1,Friday,False
2024-01-06,88298,Tuas,1,2024,1,Saturday,True
2024-01-07,92114,Pasir Panjang T3-4,1,2024,1,Sunday,True
2024-01-08,90920,Tanjong Pagar,1,2024,1,Monday,False
2024-01-09,91007,Tuas,1,2024,1,Tuesday,False
2024-01-10,90331,Pasir Panjang T1-2,1,2024,1,Wednesday,False
2024-01-11,95427,Tuas,1,2024,1,Thursday,False
2024-01-12,88466,Pasir Panjang T3-4,1,2024,1,Friday,False
2024-01-13,83562,Brani,1,2024,1,Saturday,True
2024-01-14,93796,Pasir Panjang T1-2,1,2024,1,Sunday,True
2024-01-15,88155,Pasir Panjang T1-2,1,2024,1,Monday,False
2024-01-16,89872,Pasir Panjang T3-4,1,2024,1,Tuesday,False
2024-01-17,93370,Keppel,1,2024,1,Wednesday,False
2024-01-18,85351,Keppel,1,2024,1,Thursday,False
2024-01-19,86468,Keppel,1,2024,1,Friday,False
2024-01-20,85624,Keppel,1,2024,1,Saturday,True
2024-01-21,88019,Tanjong Pagar,1,2024,1,Sunday,True
2024-01-22,91609,Tanjong Pagar,1,2024,1,Monday,False
2024-01-23,91982,Tuas,1,2024,1,Tuesday,False
2024-01-24,91424,Tanjong Pagar,1,2024,1,Wednesday,False
2024-01-25,86831,Tuas,1,2024,1,Thursday,False
2024-01-26,84455,Tanjong Pagar,1,2024,1,Friday,False
2024-01-27,91212,Pasir Panjang T3-4,1,2024,1,Saturday,True
2024-01-28,89876,Keppel,1,2024,1,Sunday,True
2024-01-29,92620,Pasir Panjang T1-2,1,2024,1,Monday,False
2024-01-30,93436,Keppel,1,2024,1,Tuesday,False
2024-01-31,91995,Brani,1,2024,1,Wednesday,False
2024-02-01,93873,Brani,2,2024,1,Thursday,False
2024-02-02,92523,Pasir Panjang T1-2,2,2024,1,Friday,False
2024-02-03,93502,Brani,2,2024,1,Saturday,True
2024-02-04,90182,Pasir Panjang T1-2,2,2024,1,Sunday,True
2024-02-05,91788,Pasir Panjang T3-4,2,2024,1,Monday,False
2024-02-06,92978,Brani,2,2024,1,Tuesday,False
2024-02-07,94861,Brani,2,2024,1,Wednesday,False
2024-02-08,91596,Tanjong Pagar,2,2024,1,Thursday,False
2024-02-09,94293,Brani,2,2024,1,Friday,False
2024-02-10,92225,Tanjong Pagar,2,2024,1,Saturday,True
2024-02-11,92775,Keppel,2,2024,1,Sunday,True
2024-02-12,95561,Tuas,2,2024,1,Monday,False
2024-02-13,87791,Tanjong Pagar,2,2024,1,Tuesday,False
2024-02-14,89875,Brani,2,2024,1,Wednesday,False
2024-02-15,89488,Tuas,2,2024,1,Thursday,False
2024-02-16,87236,Tuas,2,2024,1,Friday,False
2024-02-17,92002,Tanjong Pagar,2,2024,1,Saturday,True
2024-02-18,96131,Tanjong Pagar,2,2024,1,Sunday,True
2024-02-19,93365,Brani,2,2024,1,Monday,False
2024-02-20,94846,Pasir Panjang T1-2,2,2024,1,Tuesday,False
2024-02-21,97471,Tuas,2,2024,1,Wednesday,False
2024-02-22,98266,Keppel,2,2024,1,Thursday,False
2024-02-23,94483,Tanjong Pagar,2,2024,1,Friday,False
2024-02-24,98593,Keppel,2,2024,1,Saturday,True
2024-02-25,95186,Tuas,2,2024,1,Sunday,True
2024-02-26,92708,Tanjong Pagar,2,2024,1,Monday,False
2024-02-27,93512,Brani,2,2024,1,Tuesday,False
2024-02-28,91154,Tanjong Pagar,2,2024,1,Wednesday,False
2024-02-29,92934,Tanjong Pagar,2,2024,1,Thursday,False
2024-03-01,94539,Tuas,3,2024,1,Friday,False
2024-03-02,97911,Tanjong Pagar,3,2024,1,Saturday,True
2024-03-03,100598,Keppel,3,2024,1,Sunday,True
2024-03-04,92027,Tuas,3,2024,1,Monday,False
2024-03-05,97114,Pasir Panjang T1-2,3,2024,1,Tuesday,False
2024-03-06,93216,Tanjong Pagar,3,2024,1,Wednesday,False
