Date,Terminal,TotalCranes,ActiveCranes,MovesPerHour,DowntimePct,TotalMovesDay,Month,Year
2023-01-15,Pasir Panjang T1-2,30,30,27.9,0.07,16740,1,2023
2023-01-15,Pasir Panjang T3-4,30,30,34.3,0.061,20580,1,2023
2023-01-15,Tuas,38,38,29.4,0.06,22344,1,2023
2023-01-16,Tanjong Pagar,18,14,30.3,0.034,8484,1,2023
2023-01-16,Keppel,24,22,35.9,0.104,15796,1,2023
2023-01-16,Brani,12,11,26.9,0.044,5918,1,2023
2023-01-16,Pasir Panjang T1-2,30,27,26.3,0.05,14202,1,2023
2023-01-16,Pasir Panjang T3-4,30,30,27.0,0.03,16200,1,2023
2023-01-16,Tuas,38,37,32.0,0.106,23680,1,2023
2023-01-17,Tanjong Pagar,18,14,33.1,0.053,9268,1,2023
2023-01-17,Keppel,24,21,28.7,0.059,12053,1,2023
2023-01-17,Brani,12,8,23.7,0.099,3792,1,2023
2023-01-17,Pasir Panjang T1-2,30,27,32.9,0.042,17766,1,2023
2023-01-17,Pasir Panjang T3-4,30,27,25.0,0.022,13500,1,2023
2023-01-17,Tuas,38,37,28.7,0.084,21237,1,2023
2023-01-18,Tanjong Pagar,18,16,33.1,0.062,10592,1,2023
2023-01-18,Keppel,24,21,32.3,0.106,13566,1,2023
2023-01-18,Brani,12,8,27.0,0.094,4320,1,2023
2023-01-18,Pasir Panjang T1-2,30,27,28.3,0.099,15282,1,2023
2023-01-18,Pasir Panjang T3-4,30,29,23.3,0.044,13514,1,2023
2023-01-18,Tuas,38,35,23.3,0.059,16310,1,2023
2023-01-19,Tanjong Pagar,18,17,28.9,0.073,9826,1,2023
2023-01-19,Keppel,24,24,35.8,0.028,17184,1,2023
2023-01-19,Brani,12,12,23.8,0.031,5712,1,2023
2023-01-19,Pasir Panjang T1-2,30,27,27.9,0.093,15066,1,2023
2023-01-19,Pasir Panjang T3-4,30,29,23.4,0.077,13571,1,2023
2023-01-19,Tuas,38,34,30.0,0.09,20400,1,2023
2023-01-20,Tanjong Pagar,18,15,29.8,0.078,8940,1,2023
2023-01-20,Keppel,24,20,34.3,0.043,13720,1,2023
2023-01-20,Brani,12,10,30.8,0.027,6160,1,2023
2023-01-20,Pasir Panjang T1-2,30,28,33.9,0.098,18984,1,2023
2023-01-20,Pasir Panjang T3-4,30,30,23.2,0.027,13920,1,2023
2023-01-20,Tuas,38,38,23.4,0.096,17784,1,2023
2023-01-21,Tanjong Pagar,18,18,27.4,0.081,9864,1,2023
2023-01-21,Keppel,24,22,23.7,0.093,10428,1,2023
2023-01-21,Brani,12,12,27.8,0.084,6672,1,2023
2023-01-21,Pasir Panjang T1-2,30,30,24.3,0.083,14580,1,2023
2023-01-21,Pasir Panjang T3-4,30,26,32.1,0.076,16692,1,2023
2023-01-21,Tuas,38,36,33.1,0.031,23832,1,2023
2023-01-22,Tanjong Pagar,18,14,26.9,0.084,7531,1,2023
2023-01-22,Keppel,24,24,26.1,0.079,12528,1,2023
2023-01-22,Brani,12,8,31.9,0.081,5104,1,2023
2023-01-22,Pasir Panjang T1-2,30,29,29.4,0.063,17052,1,2023
2023-01-22,Pasir Panjang T3-4,30,30,31.6,0.057,18960,1,2023
2023-01-22,Tuas,38,37,32.3,0.08,23902,1,2023
2023-01-23,Tanjong Pagar,18,18,31.6,0.066,11376,1,2023
2023-01-23,Keppel,24,23,32.2,0.096,14812,1,2023
2023-01-23,Brani,12,11,30.9,0.083,6798,1,2023
2023-01-23,Pasir Panjang T1-2,30,30,25.7,0.076,15420,1,2023
2023-01-23,Pasir Panjang T3-4,30,26,28.7,0.085,14923,1,2023
2023-01-23,Tuas,38,37,24.7,0.05,18278,1,2023
2023-01-24,Tanjong Pagar,18,14,35.1,0.071,9828,1,2023
2023-01-24,Keppel,24,23,24.5,0.059,11270,1,2023
2023-01-24,Brani,12,8,26.2,0.1,4192,1,2023
2023-01-24,Pasir Panjang T1-2,30,30,30.4,0.113,18240,1,2023
2023-01-24,Pasir Panjang T3-4,30,26,33.5,0.082,17420,1,2023
2023-01-24,Tuas,38,36,24.7,0.072,17784,1,2023
2023-01-25,Tanjong Pagar,18,14,34.0,0.114,9520,1,2023
2023-01-25,Keppel,24,22,32.3,0.062,14211,1,2023
2023-01-25,Brani,12,10,26.9,0.04,5380,1,2023
2023-01-25,Pasir Panjang T1-2,30,27,25.0,0.029,13500,1,2023
2023-01-25,Pasir Panjang T3-4,30,29,35.9,0.086,20822,1,2023
2023-01-25,Tuas,38,36,35.3,0.071,25416,1,2023
2023-01-26,Tanjong Pagar,18,18,25.5,0.021,9180,1,2023
2023-01-26,Keppel,24,23,24.2,0.056,11132,1,2023
2023-01-26,Brani,12,9,28.2,0.026,5076,1,2023
2023-01-26,Pasir Panjang T1-2,30,30,25.6,0.071,15360,1,2023
2023-01-26,Pasir Panjang T3-4,30,27,34.8,0.101,18792,1,2023
2023-01-26,Tuas,38,37,28.3,0.09,20942,1,2023
2023-01-27,Tanjong Pagar,18,14,30.7,0.093,8596,1,2023
2023-01-27,Keppel,24,22,24.6,0.052,10824,1,2023
2023-01-27,Brani,12,11,27.2,0.105,5984,1,2023
2023-01-27,Pasir Panjang T1-2,30,27,35.8,0.05,19332,1,2023
2023-01-27,Pasir Panjang T3-4,30,28,32.8,0.063,18367,1,2023
2023-01-27,Tuas,38,34,29.7,0.065,20196,1,2023
2023-01-28,Tanjong Pagar,18,14,32.9,0.11,9212,1,2023
2023-01-28,Keppel,24,20,29.6,0.071,11840,1,2023
2023-01-28,Brani,12,12,34.4,0.089,8256,1,2023
2023-01-28,Pasir Panjang T1-2,30,26,32.4,0.063,16848,1,2023
2023-01-28,Pasir Panjang T3-4,30,30,34.0,0.041,20400,1,2023
2023-01-28,Tuas,38,38,31.9,0.086,24244,1,2023
2023-01-29,Tanjong Pagar,18,17,25.0,0.074,8500,1,2023
2023-01-29,Keppel,24,23,29.3,0.034,13478,1,2023
2023-01-29,Brani,12,10,23.4,0.028,4680,1,2023
2023-01-29,Pasir Panjang T1-2,30,29,32.3,0.112,18734,1,2023
2023-01-29,Pasir Panjang T3-4,30,28,30.1,0.081,16856,1,2023
2023-01-29,Tuas,38,34,28.8,0.068,19584,1,2023
2023-01-30,Tanjong Pagar,18,14,33.9,0.111,9492,1,2023
2023-01-30,Keppel,24,22,24.0,0.031,10560,1,2023
2023-01-30,Brani,12,11,31.4,0.085,6908,1,2023
2023-01-30,Pasir Panjang T1-2,30,28,33.8,0.11,18927,1,2023
2023-01-30,Pasir Panjang T3-4,30,29,33.7,0.068,19546,1,2023
2023-01-30,Tuas,38,36,35.7,0.06,25704,1,2023
2023-01-31,Tanjong Pagar,18,18,32.9,0.032,11843,1,2023
2023-01-31,Keppel,24,21,34.4,0.1,14448,1,2023
2023-01-31,Brani,12,11,27.8,0.077,6116,1,2023
2023-01-31,Pasir Panjang T1-2,30,29,35.7,0.033,20706,1,2023
2023-01-31,Pasir Panjang T3-4,30,27,34.4,0.088,18576,1,2023
2023-01-31,Tuas,38,35,24.5,0.081,17150,1,2023
2023-02-01,Tanjong Pagar,18,18,34.6,0.089,12456,2,2023
2023-02-01,Keppel,24,21,29.7,0.065,12473,2,2023
2023-02-01,Brani,12,8,35.2,0.042,5632,2,2023
2023-02-01,Pasir Panjang T1-2,30,29,29.1,0.064,16878,2,2023
2023-02-01,Pasir Panjang T3-4,30,27,26.1,0.049,14094,2,2023
2023-02-01,Tuas,38,38,35.8,0.078,27207,2,2023
2023-02-02,Tanjong Pagar,18,16,35.1,0.033,11232,2,2023
2023-02-02,Keppel,24,24,34.7,0.101,16656,2,2023
2023-02-02,Brani,12,9,30.8,0.075,5544,2,2023
2023-02-02,Pasir Panjang T1-2,30,26,25.9,0.066,13468,2,2023
2023-02-02,Pasir Panjang T3-4,30,29,34.0,0.024,19720,2,2023
2023-02-02,Tuas,38,35,33.0,0.043,23100,2,2023
2023-02-03,Tanjong Pagar,18,18,34.4,0.11,12383,2,2023
2023-02-03,Keppel,24,23,28.2,0.03,12972,2,2023
2023-02-03,Brani,12,9,26.9,0.111,4842,2,2023
2023-02-03,Pasir Panjang T1-2,30,30,25.5,0.05,15300,2,2023
2023-02-03,Pasir Panjang T3-4,30,30,29.9,0.082,17940,2,2023
2023-02-03,Tuas,38,36,32.3,0.069,23256,2,2023
2023-02-04,Tanjong Pagar,18,14,31.5,0.026,8820,2,2023
2023-02-04,Keppel,24,24,35.3,0.029,16944,2,2023
2023-02-04,Brani,12,11,23.5,0.066,5170,2,2023
2023-02-04,Pasir Panjang T1-2,30,30,29.5,0.055,17700,2,2023
2023-02-04,Pasir Panjang T3-4,30,29,27.5,0.058,15950,2,2023
2023-02-04,Tuas,38,35,26.0,0.062,18200,2,2023
2023-02-05,Tanjong Pagar,18,18,26.8,0.111,9648,2,2023
2023-02-05,Keppel,24,23,34.0,0.112,15640,2,2023
2023-02-05,Brani,12,12,34.9,0.054,8376,2,2023
2023-02-05,Pasir Panjang T1-2,30,27,27.5,0.06,14850,2,2023
2023-02-05,Pasir Panjang T3-4,30,27,24.0,0.115,12960,2,2023
2023-02-05,Tuas,38,36,23.9,0.029,17208,2,2023
2023-02-06,Tanjong Pagar,18,17,26.5,0.062,9010,2,2023
2023-02-06,Keppel,24,22,29.4,0.062,12936,2,2023
2023-02-06,Brani,12,11,23.8,0.061,5236,2,2023
2023-02-06,Pasir Panjang T1-2,30,26,31.3,0.091,16276,2,2023
2023-02-06,Pasir Panjang T3-4,30,28,28.5,0.071,15960,2,2023
2023-02-06,Tuas,38,36,35.6,0.067,25632,2,2023
2023-02-07,Tanjong Pagar,18,17,35.6,0.05,12104,2,2023
2023-02-07,Keppel,24,24,27.7,0.094,13296,2,2023
2023-02-07,Brani,12,8,26.0,0.083,4160,2,2023
2023-02-07,Pasir Panjang T1-2,30,29,29.3,0.111,16994,2,2023
2023-02-07,Pasir Panjang T3-4,30,30,24.9,0.039,14940,2,2023
2023-02-07,Tuas,38,38,27.7,0.105,21052,2,2023
2023-02-08,Tanjong Pagar,18,16,31.6,0.107,10112,2,2023
2023-02-08,Keppel,24,24,28.1,0.048,13488,2,2023
2023-02-08,Brani,12,9,24.9,0.059,4482,2,2023
2023-02-08,Pasir Panjang T1-2,30,26,24.4,0.039,12688,2,2023
2023-02-08,Pasir Panjang T3-4,30,30,32.6,0.042,19560,2,2023
2023-02-08,Tuas,38,38,24.2,0.057,18392,2,2023
2023-02-09,Tanjong Pagar,18,15,23.3,0.102,6990,2,2023
2023-02-09,Keppel,24,20,35.3,0.07,14120,2,2023
2023-02-09,Brani,12,11,28.4,0.116,6248,2,2023
2023-02-09,Pasir Panjang T1-2,30,30,33.2,0.104,19920,2,2023
2023-02-09,Pasir Panjang T3-4,30,27,31.7,0.12,17118,2,2023
2023-02-09,Tuas,38,34,34.8,0.115,23663,2,2023
2023-02-10,Tanjong Pagar,18,18,28.3,0.039,10188,2,2023
2023-02-10,Keppel,24,24,26.3,0.074,12624,2,2023
2023-02-10,Brani,12,11,27.8,0.041,6116,2,2023
2023-02-10,Pasir Panjang T1-2,30,29,23.2,0.052,13456,2,2023
2023-02-10,Pasir Panjang T3-4,30,26,35.2,0.111,18304,2,2023
2023-02-10,Tuas,38,35,26.7,0.056,18690,2,2023
2023-02-11,Tanjong Pagar,18,17,27.4,0.059,9316,2,2023
2023-02-11,Keppel,24,21,25.9,0.025,10878,2,2023
2023-02-11,Brani,12,9,25.7,0.105,4626,2,2023
2023-02-11,Pasir Panjang T1-2,30,29,35.2,0.076,20416,2,2023
2023-02-11,Pasir Panjang T3-4,30,30,25.7,0.063,15420,2,2023
2023-02-11,Tuas,38,36,28.9,0.101,20807,2,2023
2023-02-12,Tanjong Pagar,18,17,27.2,0.119,9248,2,2023
2023-02-12,Keppel,24,21,30.1,0.093,12642,2,2023
2023-02-12,Brani,12,11,31.1,0.073,6842,2,2023
2023-02-12,Pasir Panjang T1-2,30,29,25.7,0.046,14906,2,2023
2023-02-12,Pasir Panjang T3-4,30,29,31.2,0.094,18096,2,2023
2023-02-12,Tuas,38,38,35.3,0.043,26827,2,2023
2023-02-13,Tanjong Pagar,18,16,26.8,0.043,8576,2,2023
2023-02-13,Keppel,24,24,25.1,0.092,12048,2,2023
2023-02-13,Brani,12,9,35.4,0.042,6371,2,2023
2023-02-13,Pasir Panjang T1-2,30,28,27.4,0.039,15343,2,2023
2023-02-13,Pasir Panjang T3-4,30,30,28.0,0.022,16800,2,2023
2023-02-13,Tuas,38,35,26.8,0.105,18760,2,2023
2023-02-14,Tanjong Pagar,18,14,32.7,0.034,9156,2,2023
2023-02-14,Keppel,24,20,31.9,0.037,12760,2,2023
2023-02-14,Brani,12,10,25.9,0.022,5180,2,2023
2023-02-14,Pasir Panjang T1-2,30,29,28.3,0.033,16414,2,2023
2023-02-14,Pasir Panjang T3-4,30,27,31.6,0.078,17064,2,2023
2023-02-14,Tuas,38,34,32.6,0.028,22168,2,2023
2023-02-15,Tanjong Pagar,18,15,30.8,0.103,9240,2,2023
2023-02-15,Keppel,24,21,28.2,0.067,11843,2,2023
2023-02-15,Brani,12,10,32.6,0.028,6520,2,2023
2023-02-15,Pasir Panjang T1-2,30,27,34.5,0.112,18630,2,2023
2023-02-15,Pasir Panjang T3-4,30,29,32.8,0.068,19024,2,2023
2023-02-15,Tuas,38,35,28.1,0.038,19670,2,2023
2023-02-16,Tanjong Pagar,18,18,32.7,0.104,11772,2,2023
2023-02-16,Keppel,24,24,30.0,0.073,14400,2,2023
2023-02-16,Brani,12,8,28.5,0.118,4560,2,2023
2023-02-16,Pasir Panjang T1-2,30,30,31.9,0.075,19140,2,2023
2023-02-16,Pasir Panjang T3-4,30,26,25.9,0.024,13468,2,2023
2023-02-16,Tuas,38,38,28.2,0.036,21432,2,2023
2023-02-17,Tanjong Pagar,18,14,23.6,0.107,6608,2,2023
2023-02-17,Keppel,24,20,28.8,0.05,11520,2,2023
2023-02-17,Brani,12,10,26.6,0.022,5320,2,2023
2023-02-17,Pasir Panjang T1-2,30,30,32.1,0.037,19260,2,2023
2023-02-17,Pasir Panjang T3-4,30,29,33.1,0.03,19198,2,2023
2023-02-17,Tuas,38,38,34.5,0.043,26220,2,2023
2023-02-18,Tanjong Pagar,18,14,25.4,0.043,7111,2,2023
2023-02-18,Keppel,24,20,27.9,0.046,11160,2,2023
2023-02-18,Brani,12,9,28.0,0.065,5040,2,2023
2023-02-18,Pasir Panjang T1-2,30,29,31.8,0.075,18444,2,2023
2023-02-18,Pasir Panjang T3-4,30,30,34.4,0.026,20640,2,2023
2023-02-18,Tuas,38,35,30.3,0.06,21210,2,2023
2023-02-19,Tanjong Pagar,18,16,35.9,0.079,11488,2,2023
2023-02-19,Keppel,24,23,28.5,0.07,13110,2,2023
2023-02-19,Brani,12,10,32.5,0.021,6500,2,2023
2023-02-19,Pasir Panjang T1-2,30,28,33.7,0.069,18872,2,2023
2023-02-19,Pasir Panjang T3-4,30,26,33.8,0.023,17576,2,2023
2023-02-19,Tuas,38,36,35.0,0.026,25200,2,2023
2023-02-20,Tanjong Pagar,18,15,34.9,0.11,10470,2,2023
2023-02-20,Keppel,24,22,27.1,0.027,11924,2,2023
2023-02-20,Brani,12,10,32.5,0.111,6500,2,2023
2023-02-20,Pasir Panjang T1-2,30,29,23.5,0.049,13630,2,2023
2023-02-20,Pasir Panjang T3-4,30,26,33.4,0.078,17368,2,2023
2023-02-20,Tuas,38,37,23.8,0.079,17612,2,2023
2023-02-21,Tanjong Pagar,18,16,23.3,0.041,7456,2,2023
2023-02-21,Keppel,24,24,34.0,0.043,16320,2,2023
2023-02-21,Brani,12,12,32.3,0.097,7751,2,2023
2023-02-21,Pasir Panjang T1-2,30,26,28.2,0.092,14663,2,2023
2023-02-21,Pasir Panjang T3-4,30,30,26.2,0.062,15720,2,2023
2023-02-21,Tuas,38,36,30.9,0.105,22247,2,2023
2023-02-22,Tanjong Pagar,18,18,24.7,0.107,8892,2,2023
2023-02-22,Keppel,24,21,35.4,0.025,14868,2,2023
2023-02-22,Brani,12,11,32.6,0.112,7172,2,2023
2023-02-22,Pasir Panjang T1-2,30,30,23.3,0.114,13980,2,2023
2023-02-22,Pasir Panjang T3-4,30,28,24.0,0.106,13440,2,2023
2023-02-22,Tuas,38,34,33.3,0.065,22643,2,2023
2023-02-23,Tanjong Pagar,18,14,34.5,0.021,9660,2,2023
2023-02-23,Keppel,24,24,23.8,0.079,11424,2,2023
2023-02-23,Brani,12,8,31.3,0.054,5008,2,2023
2023-02-23,Pasir Panjang T1-2,30,26,29.5,0.112,15340,2,2023
2023-02-23,Pasir Panjang T3-4,30,26,27.7,0.11,14403,2,2023
2023-02-23,Tuas,38,37,29.3,0.058,21682,2,2023
2023-02-24,Tanjong Pagar,18,18,23.3,0.075,8388,2,2023
2023-02-24,Keppel,24,24,35.2,0.113,16896,2,2023
2023-02-24,Brani,12,9,33.6,0.057,6048,2,2023
2023-02-24,Pasir Panjang T1-2,30,26,33.0,0.02,17160,2,2023
2023-02-24,Pasir Panjang T3-4,30,30,25.7,0.078,15420,2,2023
2023-02-24,Tuas,38,34,35.2,0.101,23936,2,2023
2023-02-25,Tanjong Pagar,18,17,25.4,0.109,8636,2,2023
2023-02-25,Keppel,24,20,32.6,0.078,13040,2,2023
2023-02-25,Brani,12,12,24.9,0.077,5975,2,2023
2023-02-25,Pasir Panjang T1-2,30,26,34.0,0.085,17680,2,2023
2023-02-25,Pasir Panjang T3-4,30,30,34.9,0.025,20940,2,2023
2023-02-25,Tuas,38,36,24.8,0.043,17856,2,2023
2023-02-26,Tanjong Pagar,18,14,28.8,0.059,8064,2,2023
2023-02-26,Keppel,24,20,24.8,0.026,9920,2,2023
2023-02-26,Brani,12,9,28.9,0.092,5201,2,2023
2023-02-26,Pasir Panjang T1-2,30,26,24.9,0.094,12948,2,2023
2023-02-26,Pasir Panjang T3-4,30,26,30.5,0.052,15860,2,2023
2023-02-26,Tuas,38,34,24.5,0.095,16660,2,2023
2023-02-27,Tanjong Pagar,18,18,29.3,0.067,10548,2,2023
2023-02-27,Keppel,24,22,26.1,0.058,11484,2,2023
2023-02-27,Brani,12,11,23.2,0.119,5104,2,2023
2023-02-27,Pasir Panjang T1-2,30,28,24.1,0.114,13496,2,2023
2023-02-27,Pasir Panjang T3-4,30,30,35.6,0.111,21360,2,2023
2023-02-27,Tuas,38,38,31.2,0.049,23712,2,2023
2023-02-28,Tanjong Pagar,18,16,34.1,0.04,10912,2,2023
2023-02-28,Keppel,24,21,24.4,0.034,10248,2,2023
2023-02-28,Brani,12,10,29.1,0.113,5820,2,2023
2023-02-28,Pasir Panjang T1-2,30,30,30.7,0.063,18420,2,2023
2023-02-28,Pasir Panjang T3-4,30,26,27.4,0.053,14248,2,2023
2023-02-28,Tuas,38,35,26.6,0.035,18620,2,2023
2023-03-01,Tanjong Pagar,18,16,30.1,0.09,9632,3,2023
2023-03-01,Keppel,24,20,23.3,0.056,9320,3,2023
2023-03-01,Brani,12,9,30.6,0.089,5508,3,2023
2023-03-01,Pasir Panjang T1-2,30,27,32.4,0.075,17496,3,2023
2023-03-01,Pasir Panjang T3-4,30,28,35.2,0.049,19712,3,2023
2023-03-01,Tuas,38,35,28.7,0.085,20090,3,2023
2023-03-02,Tanjong Pagar,18,17,29.8,0.045,10132,3,2023
2023-03-02,Keppel,24,23,35.3,0.055,16238,3,2023
2023-03-02,Brani,12,9,28.3,0.038,5094,3,2023
2023-03-02,Pasir Panjang T1-2,30,29,25.6,0.048,14848,3,2023
2023-03-02,Pasir Panjang T3-4,30,29,31.4,0.109,18212,3,2023
2023-03-02,Tuas,38,34,31.1,0.098,21148,3,2023
2023-03-03,Tanjong Pagar,18,17,26.7,0.04,9078,3,2023
2023-03-03,Keppel,24,22,31.2,0.022,13728,3,2023
2023-03-03,Brani,12,10,33.2,0.1,6640,3,2023
2023-03-03,Pasir Panjang T1-2,30,26,32.0,0.045,16640,3,2023
2023-03-03,Pasir Panjang T3-4,30,30,24.8,0.081,14880,3,2023
2023-03-03,Tuas,38,36,30.0,0.107,21600,3,2023
2023-03-04,Tanjong Pagar,18,14,26.5,0.027,7420,3,2023
2023-03-04,Keppel,24,23,29.2,0.09,13432,3,2023
2023-03-04,Brani,12,11,35.9,0.079,7898,3,2023
2023-03-04,Pasir Panjang T1-2,30,27,35.2,0.109,19008,3,2023
2023-03-04,Pasir Panjang T3-4,30,30,34.8,0.069,20880,3,2023
2023-03-04,Tuas,38,36,33.4,0.073,24047,3,2023
2023-03-05,Tanjong Pagar,18,15,32.1,0.055,9630,3,2023
2023-03-05,Keppel,24,24,27.0,0.097,12960,3,2023
2023-03-05,Brani,12,12,28.1,0.106,6744,3,2023
2023-03-05,Pasir Panjang T1-2,30,30,30.5,0.11,18300,3,2023
2023-03-05,Pasir Panjang T3-4,30,28,33.5,0.032,18760,3,2023
2023-03-05,Tuas,38,38,29.6,0.113,22496,3,2023
2023-03-06,Tanjong Pagar,18,16,24.3,0.081,7776,3,2023
2023-03-06,Keppel,24,22,35.1,0.067,15444,3,2023
2023-03-06,Brani,12,8,23.2,0.083,3712,3,2023
2023-03-06,Pasir Panjang T1-2,30,30,35.7,0.033,21420,3,2023
2023-03-06,Pasir Panjang T3-4,30,26,24.3,0.062,12636,3,2023
2023-03-06,Tuas,38,36,32.6,0.106,23472,3,2023
2023-03-07,Tanjong Pagar,18,16,33.2,0.106,10624,3,2023
2023-03-07,Keppel,24,24,29.1,0.1,13968,3,2023
2023-03-07,Brani,12,8,30.6,0.023,4896,3,2023
