YearMonth,Year,Month,Route,TEU,AvgFreightRateUSD,ShipCount,OnTimeDeliveryPct
2023-06,2023,6,Singapore–Middle East,141400,1506.0,108,0.95
2023-06,2023,6,Singapore–Japan,118688,2852.0,172,0.79
2023-06,2023,6,Singapore–Korea,107269,1943.0,69,0.885
2023-07,2023,7,Singapore–China,419297,2981.0,63,0.794
2023-07,2023,7,Singapore–Europe,284596,2998.0,61,0.853
2023-07,2023,7,Singapore–US East,178047,1700.0,92,0.88
2023-07,2023,7,Singapore–US West,149743,1572.0,42,0.906
2023-07,2023,7,Singapore–India,165536,2378.0,58,0.797
2023-07,2023,7,Singapore–SE Asia,292320,824.0,126,0.97
2023-07,2023,7,Singapore–Middle East,136592,2316.0,160,0.919
2023-07,2023,7,Singapore–Japan,114295,2704.0,90,0.864
2023-07,2023,7,Singapore–Korea,110610,2417.0,157,0.924
2023-08,2023,8,Singapore–China,404079,1715.0,87,0.892
2023-08,2023,8,Singapore–Europe,269633,3006.0,120,0.916
2023-08,2023,8,Singapore–US East,168480,2225.0,58,0.898
2023-08,2023,8,Singapore–US West,154189,2357.0,89,0.8
2023-08,2023,8,Singapore–India,155775,1393.0,111,0.787
2023-08,2023,8,Singapore–SE Asia,287525,1181.0,49,0.782
2023-08,2023,8,Singapore–Middle East,130227,1096.0,95,0.899
2023-08,2023,8,Singapore–Japan,112111,3143.0,168,0.851
2023-08,2023,8,Singapore–Korea,100886,1723.0,82,0.905
2023-09,2023,9,Singapore–China,371650,1826.0,129,0.788
2023-09,2023,9,Singapore–Europe,255014,3166.0,151,0.876
2023-09,2023,9,Singapore–US East,166679,2620.0,158,0.884
2023-09,2023,9,Singapore–US West,151339,1909.0,92,0.82
2023-09,2023,9,Singapore–India,153829,980.0,164,0.86
2023-09,2023,9,Singapore–SE Asia,296316,1886.0,101,0.813
2023-09,2023,9,Singapore–Middle East,125708,2087.0,118,0.837
2023-09,2023,9,Singapore–Japan,110492,1540.0,43,0.839
2023-09,2023,9,Singapore–Korea,98349,2506.0,145,0.952
2023-10,2023,10,Singapore–China,392325,1956.0,124,0.848
2023-10,2023,10,Singapore–Europe,251906,1721.0,167,0.905
2023-10,2023,10,Singapore–US East,185731,1384.0,158,0.831
2023-10,2023,10,Singapore–US West,142385,1850.0,48,0.841
2023-10,2023,10,Singapore–India,155118,1439.0,119,0.903
2023-10,2023,10,Singapore–SE Asia,297585,2504.0,54,0.808
2023-10,2023,10,Singapore–Middle East,122180,1351.0,78,0.859
2023-10,2023,10,Singapore–Japan,112219,2731.0,47,0.825
2023-10,2023,10,Singapore–Korea,100775,3030.0,127,0.836
2023-11,2023,11,Singapore–China,385480,1799.0,176,0.868
2023-11,2023,11,Singapore–Europe,267489,1840.0,145,0.866
2023-11,2023,11,Singapore–US East,166230,1168.0,65,0.867
2023-11,2023,11,Singapore–US West,155441,2841.0,98,0.963
2023-11,2023,11,Singapore–India,156270,3151.0,176,0.946
2023-11,2023,11,Singapore–SE Asia,292257,1226.0,59,0.784
2023-11,2023,11,Singapore–Middle East,140548,1745.0,98,0.8
2023-11,2023,11,Singapore–Japan,116957,1982.0,112,0.901
2023-11,2023,11,Singapore–Korea,110928,1063.0,139,0.808
2023-12,2023,12,Singapore–China,423544,1803.0,73,0.814
2023-12,2023,12,Singapore–Europe,293804,2367.0,43,0.929
2023-12,2023,12,Singapore–US East,175221,1894.0,110,0.811
2023-12,2023,12,Singapore–US West,163873,1018.0,64,0.969
2023-12,2023,12,Singapore–India,166450,2452.0,136,0.931
2023-12,2023,12,Singapore–SE Asia,305967,2224.0,157,0.956
2023-12,2023,12,Singapore–Middle East,150167,2496.0,171,0.922
2023-12,2023,12,Singapore–Japan,120132,2772.0,82,0.841
2023-12,2023,12,Singapore–Korea,114235,2958.0,113,0.862
2024-01,2024,1,Singapore–China,474038,1766.0,172,0.781
2024-01,2024,1,Singapore–Europe,302013,1500.0,79,0.828
2024-01,2024,1,Singapore–US East,195199,1821.0,50,0.906
2024-01,2024,1,Singapore–US West,175706,2558.0,119,0.794
2024-01,2024,1,Singapore–India,176648,1842.0,64,0.793
2024-01,2024,1,Singapore–SE Asia,335128,1684.0,52,0.929
2024-01,2024,1,Singapore–Middle East,162042,1409.0,91,0.943
2024-01,2024,1,Singapore–Japan,132081,2437.0,104,0.83
2024-01,2024,1,Singapore–Korea,121605,858.0,163,0.887
2024-02,2024,2,Singapore–China,470306,2147.0,114,0.914
2024-02,2024,2,Singapore–Europe,320187,2907.0,165,0.864
2024-02,2024,2,Singapore–US East,197525,2791.0,173,0.897
2024-02,2024,2,Singapore–US West,186384,1961.0,152,0.858
2024-02,2024,2,Singapore–India,182938,1357.0,60,0.823
2024-02,2024,2,Singapore–SE Asia,346002,1146.0,148,0.96
2024-02,2024,2,Singapore–Middle East,146897,2919.0,50,0.861
2024-02,2024,2,Singapore–Japan,131241,1146.0,140,0.911
2024-02,2024,2,Singapore–Korea,120976,3189.0,117,0.794
2024-03,2024,3,Singapore–China,458882,2780.0,106,0.851
2024-03,2024,3,Singapore–Europe,304637,2153.0,47,0.877
2024-03,2024,3,Singapore–US East,197737,3023.0,61,0.915
2024-03,2024,3,Singapore–US West,176951,3111.0,109,0.783
2024-03,2024,3,Singapore–India,189983,1869.0,69,0.783
2024-03,2024,3,Singapore–SE Asia,352666,1889.0,179,0.781
2024-03,2024,3,Singapore–Middle East,154031,3082.0,140,0.884
2024-03,2024,3,Singapore–Japan,134234,2958.0,49,0.83
2024-03,2024,3,Singapore–Korea,128091,2212.0,62,0.923
2024-04,2024,4,Singapore–China,485260,2510.0,157,0.947
2024-04,2024,4,Singapore–Europe,314364,1403.0,158,0.904
2024-04,2024,4,Singapore–US East,195622,1687.0,71,0.909
2024-04,2024,4,Singapore–US West,186789,2355.0,179,0.922
2024-04,2024,4,Singapore–India,186907,1571.0,174,0.961
2024-04,2024,4,Singapore–SE Asia,334820,2784.0,73,0.857
2024-04,2024,4,Singapore–Middle East,161363,1697.0,117,0.849
2024-04,2024,4,Singapore–Japan,130974,2566.0,73,0.947
2024-04,2024,4,Singapore–Korea,122011,1216.0,59,0.941
2024-05,2024,5,Singapore–China,438967,1937.0,64,0.945
2024-05,2024,5,Singapore–Europe,306277,1592.0,147,0.875
2024-05,2024,5,Singapore–US East,189108,2531.0,70,0.78
2024-05,2024,5,Singapore–US West,167686,1552.0,175,0.944
2024-05,2024,5,Singapore–India,188905,2166.0,119,0.821
2024-05,2024,5,Singapore–SE Asia,340948,1544.0,153,0.912
2024-05,2024,5,Singapore–Middle East,149418,2297.0,108,0.791
2024-05,2024,5,Singapore–Japan,125703,3174.0,75,0.888
2024-05,2024,5,Singapore–Korea,117686,2331.0,49,0.802
2024-06,2024,6,Singapore–China,430402,2325.0,49,0.95
2024-06,2024,6,Singapore–Europe,291833,3193.0,171,0.833
2024-06,2024,6,Singapore–US East,188983,1985.0,88,0.855
2024-06,2024,6,Singapore–US West,165201,2209.0,59,0.899
2024-06,2024,6,Singapore–India,181189,1872.0,74,0.914
2024-06,2024,6,Singapore–SE Asia,322628,2785.0,144,0.909
2024-06,2024,6,Singapore–Middle East,143870,1434.0,150,0.929
2024-06,2024,6,Singapore–Japan,120492,1676.0,55,0.784
2024-06,2024,6,Singapore–Korea,113557,1319.0,168,0.825
2024-07,2024,7,Singapore–China,423505,2671.0,115,0.925
2024-07,2024,7,Singapore–Europe,270675,1376.0,49,0.888
2024-07,2024,7,Singapore–US East,178063,2872.0,44,0.839
2024-07,2024,7,Singapore–US West,159829,3082.0,147,0.947
2024-07,2024,7,Singapore–India,173793,2489.0,93,0.838
2024-07,2024,7,Singapore–SE Asia,303178,1108.0,138,0.935
2024-07,2024,7,Singapore–Middle East,138341,2484.0,154,0.857
2024-07,2024,7,Singapore–Japan,113501,1154.0,107,0.926
2024-07,2024,7,Singapore–Korea,112691,3199.0,113,0.783
2024-08,2024,8,Singapore–China,416455,2050.0,85,0.967
2024-08,2024,8,Singapore–Europe,273970,2081.0,112,0.784
2024-08,2024,8,Singapore–US East,161461,1562.0,170,0.907
2024-08,2024,8,Singapore–US West,133789,2459.0,69,0.798
2024-08,2024,8,Singapore–India,158982,1308.0,143,0.961
2024-08,2024,8,Singapore–SE Asia,297696,2746.0,155,0.8
2024-08,2024,8,Singapore–Middle East,143586,1460.0,47,0.931
2024-08,2024,8,Singapore–Japan,117919,1873.0,174,0.908
2024-08,2024,8,Singapore–Korea,105409,2213.0,141,0.815
2024-09,2024,9,Singapore–China,415158,2107.0,61,0.805
2024-09,2024,9,Singapore–Europe,265758,2538.0,50,0.783
2024-09,2024,9,Singapore–US East,156005,1376.0,92,0.951
2024-09,2024,9,Singapore–US West,140277,1638.0,71,0.929
2024-09,2024,9,Singapore–India,164508,1004.0,143,0.837
2024-09,2024,9,Singapore–SE Asia,286354,1080.0,70,0.841
2024-09,2024,9,Singapore–Middle East,135906,1452.0,59,0.931
2024-09,2024,9,Singapore–Japan,120832,2791.0,129,0.931
2024-09,2024,9,Singapore–Korea,98744,2964.0,57,0.883
2024-10,2024,10,Singapore–China,411995,865.0,110,0.938
2024-10,2024,10,Singapore–Europe,265348,886.0,157,0.798
2024-10,2024,10,Singapore–US East,161062,1193.0,130,0.8
2024-10,2024,10,Singapore–US West,140249,2900.0,85,0.81
2024-10,2024,10,Singapore–India,161947,1560.0,54,0.88
2024-10,2024,10,Singapore–SE Asia,300508,3103.0,165,0.933
2024-10,2024,10,Singapore–Middle East,141700,1354.0,64,0.894
2024-10,2024,10,Singapore–Japan,115972,3103.0,119,0.873
2024-10,2024,10,Singapore–Korea,100134,2300.0,123,0.964
2024-11,2024,11,Singapore–China,445325,3199.0,127,0.86
2024-11,2024,11,Singapore–Europe,276232,1812.0,100,0.899
2024-11,2024,11,Singapore–US East,166820,1959.0,103,0.926
2024-11,2024,11,Singapore–US West,139581,2050.0,77,0.909
2024-11,2024,11,Singapore–India,166990,2234.0,48,0.821
2024-11,2024,11,Singapore–SE Asia,329615,2273.0,138,0.851
2024-11,2024,11,Singapore–Middle East,139001,2844.0,157,0.922
2024-11,2024,11,Singapore–Japan,117211,3078.0,120,0.828
2024-11,2024,11,Singapore–Korea,106484,2762.0,146,0.783
2024-12,2024,12,Singapore–China,436372,2833.0,108,0.873
2024-12,2024,12,Singapore–Europe,304036,2581.0,73,0.93
2024-12,2024,12,Singapore–US East,176534,948.0,74,0.895
2024-12,2024,12,Singapore–US West,160825,1994.0,137,0.934
2024-12,2024,12,Singapore–India,178203,2562.0,61,0.945
2024-12,2024,12,Singapore–SE Asia,320050,2742.0,125,0.787
2024-12,2024,12,Singapore–Middle East,143809,1456.0,59,0.839
2024-12,2024,12,Singapore–Japan,131198,1313.0,122,0.958
2024-12,2024,12,Singapore–Korea,116686,1217.0,162,0.862
